ID;Date;Respondent Organisation;Respondent position;Gender;District; compliance to quarantine restrictions;stigma;food and water in quarantine;trust in authorities;Trusting the Information;burial teams;safety and acceptance;access to health care;gender equality;surveillance teams;help lines;Ebola Response Making Progress;main reason people do not respect quarantine restrictions;main reason for non-compliance;main reason for compliance;complacency colleagues;complacency people;valued and appreciated;removal of checkpoints making fight against Ebola more difficult;removal of checkpoints makes...;welcomed in communities;people confident seeking medical help for non-Ebola illnesses;gender based violence (1-5);gender based violence (Y/N);Follow up to GBV;emotional stress;What is the highest stress factor?;corruption;communication activities ;feedback influencing oganization's actions;what else can be done to fight Ebola? (choose 3 options);;;;
GT_EbolaWorkersR1_41;21.11.2014;Plan Int'I;Staff;Male;Bombali;1;5;2;2;;2;3;4;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_42;21.11.2014;Plan Int'I;Staff;Female;Western Area Rural Urban;1;4;3;1;;2;4;4;4;2;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_43;21.11.2014;Plan Int'I;Staff;Female;Western Area Rural Urban;1;4;2;1;;2;2;4;3;3;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_44;21.11.2014;Plan Int'I;Staff;Male;Bo;2;5;2;3;;2;2;3;4;4;3;5;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_45;21.11.2014;Plan Int'I;Staff;Female;Kenema;3;4;2;1;;2;3;4;4;4;2;5;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_46;21.11.2014;Plan Int'I;Staff;Male;Kenema;4;2;1;3;;4;4;3;3;2;4;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_47;21.11.2014;Plan Int'I;Staff;Male;Port loko;3;4;5;2;;2;1;4;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_48;21.11.2014;Plan Int'I;Staff;Male;Port loko;2;4;2;1;;2;5;4;5;2;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_49;21.11.2014;Plan Int'I;Staff;Male;Kailahun;3;5;2;2;;1;3;1;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_50;21.11.2014;Plan Int'I;Staff;Male;Port loko;3;4;2;4;;5;1;4;2;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_51;21.11.2014;Plan Int'I;Staff;Male;Port loko;1;2;3;2;;2;4;3;5;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_52;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;2;4;3;2;;2;1;2;3;4;5;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_53;21.11.2014;Plan Int'I;Staff;Male;Kailahun;4;4;0;3;;2;4;3;5;3;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_54;21.11.2014;Plan Int'I;Staff;Male;Moyamba;4;5;1;3;;1;3;3;2;5;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_55;21.11.2014;Plan Int'I;Staff;Male;Bo;1;4;2;5;;3;2;1;3;2;1;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_56;21.11.2014;Plan Int'I;Staff;Male;Bombali;1;3;5;3;;3;3;1;3;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_57;21.11.2014;Plan Int'I;Staff;Male;Kailahun;3;4;3;1;;2;1;3;3;5;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_58;21.11.2014;Plan Int'I;Staff;Male;Moyamba;2;4;5;3;;3;3;1;3;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_59;21.11.2014;Plan Int'I;Staff;Male;Bombali;2;4;3;5;;3;2;3;1;3;1;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_60;21.11.2014;Plan Int'I;Staff;Male;Port loko;2;4;3;2;;2;3;3;4;3;4;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_61;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;2;5;3;1;;2;4;2;0;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_62;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;2;5;2;3;;3;2;2;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_63;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;2;4;2;3;;3;2;3;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_64;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;2;4;2;2;;2;2;3;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_65;21.11.2014;Plan Int'I;Staff;Male;Moyamba;2;4;3;2;;2;2;3;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_66;21.11.2014;Plan Int'I;Staff;Male;Port loko;2;4;2;2;;2;2;2;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_67;21.11.2014;Plan Int'I;Staff;Male;Bo;2;5;2;2;;2;2;3;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_68;21.11.2014;Plan Int'I;Staff;Male;Port loko;3;4;2;1;;2;2;4;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_69;21.11.2014;Plan Int'I;Staff;Male;Port loko;2;4;2;1;;1;2;2;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_70;21.11.2014;Plan Int'I;Staff;Male;Port loko;2;5;3;1;;2;2;3;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_71;21.11.2014;Plan Int'I;Staff;Male;Port loko;2;5;2;2;;3;2;3;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_72;21.11.2014;Plan Int'I;Staff;Male;Port loko;2;4;2;2;;1;2;3;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_73;21.11.2014;Plan Int'I;Staff;Male;Port loko;2;4;3;3;;2;2;2;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_74;21.11.2014;Plan Int'I;Staff;Male;Port loko;2;5;2;2;;1;2;3;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_75;21.11.2014;Plan Int'I;Staff;Male;Port loko;2;5;2;2;;1;2;3;5;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_76;21.11.2014;Plan Int'I;Staff;Female;Moyamba;2;4;2;2;;2;2;3;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_77;21.11.2014;Plan Int'I;Staff;Male;Moyamba;3;5;2;1;;2;1;2;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_78;21.11.2014;Plan Int'I;Staff;Male;Moyamba;2;5;2;3;;2;2;2;5;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_79;21.11.2014;Plan Int'I;Staff;Female;Koinadugu;2;5;2;1;;2;1;2;5;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_80;21.11.2014;Plan Int'I;Staff;Male;Port loko;3;5;2;1;;2;2;2;5;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_81;21.11.2014;Plan Int'I;Staff;Male;Kailahun;2;4;2;1;;2;2;2;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_82;21.11.2014;Plan Int'I;Staff;Male;Kambia;2;4;2;1;;2;1;2;3;2;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_83;21.11.2014;Plan Int'I;Staff;Female;Western Area Rural Urban;3;5;2;2;;3;2;3;5;4;2;3;;;;;;;;;;;;;;;;;;;;;;;
