Priority;Hard to Reach Access Methods;Shelter Cluster Hub;Last Update;District HLCIT  Code;VDC / Municipality HLCIT  Code;Implementing agency;Sourcing Agency;Local partner agency;District;VDC / Municipalities;Municipal Ward;Action type;Action description;Targeting;# Items / # Man-hours / NPR;Total Number Households;Average cost per households (NPR);Female headed households;Vulnerable Caste / Ethnicity households ;Activity Status;Start date;Completion Date;Additional Comments
Priority;No road access - possibly no helicopter landing sites;West;26/09/2015;524 2 05 30;524 2 05 30 5 005;ACTED;IOM;;Dhading;Sertung;2,8,9;Shelter;CGI Bundle (72ft/bundle);All / Blanket;1082;541;15400;;;Ongoing / In Country Stock;17/09/2015;;2 bundles/HH
Priority;No road access - possibly no helicopter landing sites;West;26/09/2015;524 2 05 30;524 2 05 30 5 005;ACTED;Internal;;Dhading;Sertung;Unknown;Shelter;Tool Kits;All / Blanket;17;50;2806;;;Completed;31/08/2015;02/09/2015;
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 2 05 30;524 2 05 30 5 020;ACTED;IOM-DFID;;Dhading;Tipling;Unknown;Shelter;Tarpaulin;All / Blanket;120;120;2200;;;Completed;05/05/2015;05/05/2015;
Priority;No road access - possibly no helicopter landing sites;West;26/09/2015;524 2 05 30;524 2 05 30 5 005;ACTED;Internal;;Dhading;Sertung;;Labor;Technical Supervision Support;Targeted group;112;56;;;;Completed;18/07/2015;19/07/2015;
Priority;4x4/Pickup access;West;26/09/2015;524 2 05 30;524 2 05 30 5 003;ACTED;Internal;;Dhading;Marpak;;Labor;Technical Supervision Support;Targeted group;82;59;;;;Completed;03/09/2015;03/09/2015;
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 029;ACTED;IOM;;Dolakha;Alambu;Unknown;NFI;Household kits (excluding tarpaulins);Targeted group;650;650;3116;;;Completed;11/06/2016;12/06/2016;
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 029;ACTED;Internal;;Dolakha;Alambu;Unknown;Shelter;Tarpaulin;Targeted group;20;20;2200;;;Completed;13/05/2015;13/05/2015;
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 029;ACTED;IOM;;Dolakha;Alambu;Unknown;NFI;Blankets;Targeted group;2520;650;18725;;;Completed;11/06/2015;12/06/2015;5 blankets/HH
Priority;;East;26/09/2015;524 2 04 22;524 2 04 22 5 028;ACTED;UNHCR;;Dolakha;Boch;Unknown;Shelter;Tarpaulin;All / Blanket;1087;1087;2200;;;Completed;16/05/2015;16/05/2015;
Priority;4x4/Pickup access;East;26/09/2015;524 2 04 22;524 2 04 22 5 031;ACTED;IOM;;Dolakha;Chhetrapa;4;Shelter;CGI Bundle (72ft/bundle);All / Blanket;254;127;15400;;;Completed;01/07/2015;01/07/2015;2 bundles/HH
Priority;4x4/Pickup access;East;26/09/2015;524 2 04 22;524 2 04 22 5 031;ACTED;IOM;;Dolakha;Chhetrapa;3;Shelter;CGI Bundle (72ft/bundle);All / Blanket;112;56;15400;;;Completed;01/07/2015;01/07/2015;2 bundles/HH
Priority;4x4/Pickup access;East;26/09/2015;524 2 04 22;524 2 04 22 5 031;ACTED;IOM;;Dolakha;Chhetrapa;1;Shelter;CGI Bundle (72ft/bundle);All / Blanket;280;140;15400;;;Completed;03/07/2015;03/07/2015;2 bundles/HH
Priority;4x4/Pickup access;East;26/09/2015;524 2 04 22;524 2 04 22 5 031;ACTED;IOM;;Dolakha;Chhetrapa;2;Shelter;CGI Bundle (72ft/bundle);All / Blanket;180;90;15400;;;Completed;03/07/2015;03/07/2015;2 bundles/HH
Priority;4x4/Pickup access;East;26/09/2015;524 2 04 22;524 2 04 22 5 031;ACTED;IOM;;Dolakha;Chhetrapa;9;Shelter;CGI Bundle (72ft/bundle);All / Blanket;302;151;15400;;;Completed;05/07/2015;05/07/2015;2 bundles/HH
Priority;4x4/Pickup access;East;26/09/2015;524 2 04 22;524 2 04 22 5 031;ACTED;IOM;;Dolakha;Chhetrapa;8;Shelter;CGI Bundle (72ft/bundle);All / Blanket;320;160;15400;;;Completed;06/07/2015;06/07/2015;2 bundles/HH
