Priority;Hard to Reach Access Methods;Shelter Cluster Hub;Last Update;District HLCIT  Code;VDC / Municipality HLCIT  Code;Implementing agency;Sourcing Agency;Local partner agency;District;VDC / Municipalities;Municipal Ward;Action type;Action description;Targeting;# Items / # Man-hours / NPR;Total Number Households;Average cost per households (NPR);Female headed households;Vulnerable Caste / Ethnicity households ;Activity Status;Start date;Completion Date;Additional Comments
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 028;CARE;;SSICDC;Gorkha;Gangkhu;8;Shelter;Tarpaulin;Targeted group;33;33;2400;;;Completed;06/05/2015;06/05/2015;Tarpaulin distribution  does not include NFI kits.
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 028;CARE;;SSICDC;Gorkha;Gangkhu;9;Shelter;Tarpaulin;Targeted group;31;31;2400;;;Completed;05/05/2015;05/05/2015;Tarpaulin distribution  does not include NFI kits.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;1;Shelter;CGI Bundle (72ft/bundle);All / Blanket;128;64;11772;12;;Completed;14/06/2015;18/06/2015;2 bundles of CGI is distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;2;Shelter;CGI Bundle (72ft/bundle);All / Blanket;110;55;11772;8;;Completed;14/06/2015;18/06/2015;2 bundles of CGI is distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;3;Shelter;CGI Bundle (72ft/bundle);All / Blanket;132;66;11772;15;;Completed;14/06/2015;18/06/2015;2 bundles of CGI is distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;4;Shelter;CGI Bundle (72ft/bundle);All / Blanket;94;47;11772;0;;Completed;14/06/2015;18/06/2015;2 bundles of CGI is distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;5;Shelter;CGI Bundle (72ft/bundle);All / Blanket;330;165;11772;10;;Completed;14/06/2015;30/07/2015;2 bundles of CGI is distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;6;Shelter;CGI Bundle (72ft/bundle);All / Blanket;142;71;11772;4;;Completed;14/06/2015;30/07/2015;2 bundles of CGI is distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;7;Shelter;CGI Bundle (72ft/bundle);All / Blanket;102;51;11772;9;;Completed;14/06/2015;30/07/2015;2 bundles of CGI is distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;8;Shelter;CGI Bundle (72ft/bundle);All / Blanket;141;71;11772;9;;Completed;14/06/2015;30/07/2015;2 bundles of CGI is distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;9;Shelter;CGI Bundle (72ft/bundle);All / Blanket;136;68;11772;8;;Completed;14/06/2015;30/07/2015;2 bundles of CGI is distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;1;Shelter;Fixings;All / Blanket;64;64;1879;12;;Completed;14/06/2015;18/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;2;Shelter;Fixings;All / Blanket;55;55;1879;8;;Completed;14/06/2015;18/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;3;Shelter;Fixings;All / Blanket;66;66;1879;15;;Completed;14/06/2015;18/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;4;Shelter;Fixings;All / Blanket;47;47;1879;0;;Completed;14/06/2015;18/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;5;Shelter;Fixings;All / Blanket;165;165;1879;10;;Completed;14/06/2015;30/07/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;6;Shelter;Fixings;All / Blanket;71;71;1879;4;;Completed;14/06/2015;30/07/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;7;Shelter;Fixings;All / Blanket;51;51;1879;9;;Completed;14/06/2015;30/07/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;8;Shelter;Fixings;All / Blanket;71;71;1879;9;;Completed;14/06/2015;30/07/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;9;Shelter;Fixings;All / Blanket;68;68;1879;8;;Completed;14/06/2015;30/07/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;4;NFI;Kitchen Sets;All / Blanket;47;47;4000;0;;Completed;30/05/2015;07/06/2015;Kitchen set were distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;5;NFI;Kitchen Sets;All / Blanket;86;86;4000;10;;Completed;30/05/2015;07/06/2015;Kitchen set were distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;6;NFI;Kitchen Sets;All / Blanket;70;70;4000;4;;Completed;30/05/2015;07/06/2015;Kitchen set were distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;7;NFI;Kitchen Sets;All / Blanket;48;48;4000;9;;Completed;30/05/2015;07/06/2015;Kitchen set were distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;8;NFI;Kitchen Sets;All / Blanket;70;70;4000;9;;Completed;30/05/2015;07/06/2015;Kitchen set were distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;9;NFI;Kitchen Sets;All / Blanket;58;58;4000;8;;Completed;30/05/2015;07/06/2015;Kitchen set were distributed
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;1;Shelter;Tarpaulin;All / Blanket;64;64;2400;;;Completed;;14/06/2015;Tarpaulin is distributed with CGI
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;2;Shelter;Tarpaulin;All / Blanket;55;55;2400;;;Completed;;14/06/2015;Tarpaulin is distributed with CGI
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;3;Shelter;Tarpaulin;All / Blanket;66;66;2400;;;Completed;;14/06/2015;Tarpaulin is distributed with CGI
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;4;Shelter;Tarpaulin;All / Blanket;47;47;2400;;;Completed;;14/06/2015;Tarpaulin is distributed with CGI
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;5;Shelter;Tarpaulin;All / Blanket;158;158;2400;;;Completed;;14/06/2015;Tarpaulin is distributed with CGI
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;6;Shelter;Tarpaulin;All / Blanket;70;70;2400;;;Completed;;14/06/2015;Tarpaulin is distributed with CGI
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;7;Shelter;Tarpaulin;All / Blanket;48;48;2400;;;Completed;;14/06/2015;Tarpaulin is distributed with CGI
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;IOM;SSICDC;Gorkha;Gumda;8;Shelter;Tarpaulin;All / Blanket;70;70;2400;;;Completed;;14/06/2015;Tarpaulin is distributed with CGI
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 044;CARE;;SSICDC;Gorkha;Gumda;9;Shelter;Tarpaulin;All / Blanket;63;63;4800;;;Completed;;14/06/2015;Tarpaulin is distributed with CGI
Priority;Truck access;West;26/09/2015;524 3 07 36;524 3 07 36 5 030;CARE;;SSICDC;Gorkha;Khoplang;1;Shelter;Tarpaulin;Targeted group;1;1;2400;0;;Completed;20/05/2015;20/05/2015;Tarpaulin were distributed with out NFI kits
Priority;Truck access;West;26/09/2015;524 3 07 36;524 3 07 36 5 030;CARE;;SSICDC;Gorkha;Khoplang;2;Shelter;Tarpaulin;Targeted group;86;86;2400;3;;Completed;20/05/2015;20/05/2015;Tarpaulin were distributed with out NFI kits
Priority;Truck access;West;26/09/2015;524 3 07 36;524 3 07 36 5 030;CARE;;SSICDC;Gorkha;Khoplang;3;Shelter;Tarpaulin;Targeted group;15;15;2400;1;;Completed;20/05/2015;20/05/2015;Tarpaulin were distributed with out NFI kits
Priority;Truck access;West;26/09/2015;524 3 07 36;524 3 07 36 5 030;CARE;;SSICDC;Gorkha;Khoplang;4;Shelter;Tarpaulin;Targeted group;10;10;2400;0;;Completed;20/05/2015;20/05/2015;Tarpaulin were distributed with out NFI kits
Priority;Truck access;West;26/09/2015;524 3 07 36;524 3 07 36 5 030;CARE;;SSICDC;Gorkha;Khoplang;5;Shelter;Tarpaulin;Targeted group;3;3;2400;0;;Completed;20/05/2015;20/05/2015;Tarpaulin were distributed with out NFI kits
Priority;Truck access;West;26/09/2015;524 3 07 36;524 3 07 36 5 030;CARE;;SSICDC;Gorkha;Khoplang;6;Shelter;Tarpaulin;Targeted group;11;11;2400;4;;Completed;20/05/2015;20/05/2015;Tarpaulin were distributed with out NFI kits
Priority;Truck access;West;26/09/2015;524 3 07 36;524 3 07 36 5 030;CARE;;SSICDC;Gorkha;Khoplang;7;Shelter;Tarpaulin;Targeted group;4;4;2400;0;;Completed;20/05/2015;20/05/2015;Tarpaulin were distributed with out NFI kits
Priority;Truck access;West;26/09/2015;524 3 07 36;524 3 07 36 5 030;CARE;;SSICDC;Gorkha;Khoplang;8;Shelter;Tarpaulin;Targeted group;60;60;2400;0;;Completed;20/05/2015;20/05/2015;Tarpaulin were distributed with out NFI kits
Priority;Truck access;West;26/09/2015;524 3 07 36;524 3 07 36 5 030;CARE;;SSICDC;Gorkha;Khoplang;9;Shelter;Tarpaulin;Targeted group;34;34;2400;3;;Completed;20/05/2015;20/05/2015;Tarpaulin were distributed with out NFI kits
Priority;Truck access;West;26/09/2015;524 3 07 36;524 3 07 36 5 030;CARE;;SSICDC;Gorkha;Khoplang;Unknown;Shelter;Tarpaulin;Targeted group;100;100;2400;;;Completed;07/05/2015;07/05/2015;
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;1;Shelter;CGI Bundle (72ft/bundle);All / Blanket;160;80;11772;5;;Completed;19/06/2015;22/06/2015;2 bundles of CGI Sheets distributed per HH and tarps.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;2;Shelter;CGI Bundle (72ft/bundle);All / Blanket;172;86;11772;6;;Completed;19/06/2015;22/06/2015;2 bundles of CGI Sheets distributed per HH and tarps.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;3;Shelter;CGI Bundle (72ft/bundle);All / Blanket;110;55;11772;7;;Completed;19/06/2015;22/06/2015;2 bundles of CGI Sheets distributed per HH and tarps.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;4;Shelter;CGI Bundle (72ft/bundle);All / Blanket;130;65;11772;1;;Completed;19/06/2015;22/06/2015;2 bundles of CGI Sheets distributed per HH and tarps.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;5;Shelter;CGI Bundle (72ft/bundle);All / Blanket;82;41;11772;10;;Completed;19/06/2015;22/06/2015;2 bundles of CGI Sheets distributed per HH and tarps.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;6;Shelter;CGI Bundle (72ft/bundle);All / Blanket;168;84;11772;0;;Completed;19/06/2015;22/06/2015;2 bundles of CGI Sheets distributed per HH and tarps.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;7;Shelter;CGI Bundle (72ft/bundle);All / Blanket;110;55;11772;1;;Completed;19/06/2015;22/06/2015;2 bundles of CGI Sheets distributed per HH and tarps.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;8;Shelter;CGI Bundle (72ft/bundle);All / Blanket;126;63;11772;0;;Completed;19/06/2015;22/06/2015;2 bundles of CGI Sheets distributed per HH and tarps.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;9;Shelter;CGI Bundle (72ft/bundle);All / Blanket;150;75;11772;0;;Completed;19/06/2015;22/06/2015;2 bundles of CGI Sheets distributed per HH and tarps.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;1;Shelter;Tool kits;All / Blanket;27;80;1879;5;;Completed;19/06/2015;22/06/2015;1 shelter tool kit shared by 3 HHs
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;2;Shelter;Tool kits;All / Blanket;30;86;1879;7;;Completed;19/06/2015;22/06/2015;1 shelter tool kit shared by 3 HHs
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;3;Shelter;Tool kits;All / Blanket;18;55;1879;7;;Completed;19/06/2015;22/06/2015;1 shelter tool kit shared by 3 HHs
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;4;Shelter;Tool kits;All / Blanket;21;65;1879;1;;Completed;19/06/2015;22/06/2015;1 shelter tool kit shared by 3 HHs
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;5;Shelter;Tool kits;All / Blanket;16;41;1879;12;;Completed;19/06/2015;22/06/2015;1 shelter tool kit shared by 3 HHs
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;6;Shelter;Tool kits;All / Blanket;29;84;1879;0;;Completed;19/06/2015;22/06/2015;1 shelter tool kit shared by 3 HHs
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;7;Shelter;Tool kits;All / Blanket;19;55;1879;1;;Completed;19/06/2015;22/06/2015;1 shelter tool kit shared by 3 HHs
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;8;Shelter;Tool kits;All / Blanket;22;63;1879;0;;Completed;19/06/2015;22/06/2015;1 shelter tool kit shared by 3 HHs
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;9;Shelter;Tool kits;All / Blanket;27;75;1879;1;;Completed;19/06/2015;22/06/2015;1 shelter tool kit shared by 3 HHs
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;1;Shelter;Fixings;All / Blanket;80;80;1879;5;;Completed;19/06/2015;22/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;2;Shelter;Fixings;All / Blanket;86;86;1879;6;;Completed;19/06/2015;22/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;3;Shelter;Fixings;All / Blanket;55;55;1879;7;;Completed;19/06/2015;22/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;4;Shelter;Fixings;All / Blanket;65;65;1879;1;;Completed;19/06/2015;22/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;5;Shelter;Fixings;All / Blanket;41;41;1879;10;;Completed;19/06/2015;22/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;6;Shelter;Fixings;All / Blanket;84;84;1879;0;;Completed;19/06/2015;22/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;7;Shelter;Fixings;All / Blanket;55;55;1879;1;;Completed;19/06/2015;22/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;8;Shelter;Fixings;All / Blanket;63;63;1879;0;;Completed;19/06/2015;22/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;;SSICDC;Gorkha;Laprak;9;Shelter;Fixings;All / Blanket;75;75;1879;0;;Completed;19/06/2015;22/06/2015;Fixing kits were distributed with the CGI Sheets.
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;IOM;SSICDC;Gorkha;Laprak;1;Shelter;Construction Materials (Excluding CGI and Fixings);All / Blanket;800;80;;5;;Completed;19/06/2015;22/06/2015;10 bamboo is distributed with the CGI sheets, Fixing kits, tarps & IEC materials
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;IOM;SSICDC;Gorkha;Laprak;2;Shelter;Construction Materials (Excluding CGI and Fixings);All / Blanket;860;86;;6;;Completed;19/06/2015;22/06/2015;10 bamboo is distributed with the CGI sheets, Fixing kits, tarps & IEC materials
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;IOM;SSICDC;Gorkha;Laprak;3;Shelter;Construction Materials (Excluding CGI and Fixings);All / Blanket;550;55;;7;;Completed;19/06/2015;22/06/2015;10 bamboo is distributed with the CGI sheets, Fixing kits, tarps & IEC materials
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;IOM;SSICDC;Gorkha;Laprak;4;Shelter;Construction Materials (Excluding CGI and Fixings);All / Blanket;650;65;;1;;Completed;19/06/2015;22/06/2015;10 bamboo is distributed with the CGI sheets, Fixing kits, tarps & IEC materials
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;IOM;SSICDC;Gorkha;Laprak;5;Shelter;Construction Materials (Excluding CGI and Fixings);All / Blanket;410;41;;10;;Completed;19/06/2015;22/06/2015;10 bamboo is distributed with the CGI sheets, Fixing kits, tarps & IEC materials
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;IOM;SSICDC;Gorkha;Laprak;6;Shelter;Construction Materials (Excluding CGI and Fixings);All / Blanket;840;84;;0;;Completed;19/06/2015;22/06/2015;10 bamboo is distributed with the CGI sheets, Fixing kits, tarps & IEC materials
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;IOM;SSICDC;Gorkha;Laprak;7;Shelter;Construction Materials (Excluding CGI and Fixings);All / Blanket;550;55;;1;;Completed;19/06/2015;22/06/2015;10 bamboo is distributed with the CGI sheets, Fixing kits, tarps & IEC materials
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;IOM;SSICDC;Gorkha;Laprak;8;Shelter;Construction Materials (Excluding CGI and Fixings);All / Blanket;630;63;;0;;Completed;19/06/2015;22/06/2015;10 bamboo is distributed with the CGI sheets, Fixing kits, tarps & IEC materials
Priority;No road access - possible helicopter landing sites;West;26/09/2015;524 3 07 36;524 3 07 36 5 047;CARE;IOM;SSICDC;Gorkha;Laprak;9;Shelter;Construction Materials (Excluding CGI and Fixings);All / Blanket;750;75;;0;;Completed;19/06/2015;22/06/2015;10 bamboo is distributed with the CGI sheets, Fixing kits, tarps & IEC materials
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;1;NFI;Kitchen Sets;All / Blanket;135;135;4000;;;Completed;23/05/2015;26/05/2015;Kitchen Sets
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;2;NFI;Kitchen Sets;All / Blanket;106;106;4000;;;Completed;23/05/2015;26/05/2015;Kitchen Sets
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;3;NFI;Kitchen Sets;All / Blanket;198;198;4000;;;Completed;23/05/2015;26/05/2015;Kitchen Sets
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;4;NFI;Kitchen Sets;All / Blanket;234;234;4000;;;Completed;23/05/2015;26/05/2015;Kitchen Sets
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;5;NFI;Kitchen Sets;All / Blanket;96;96;4000;;;Completed;23/05/2015;26/05/2015;Kitchen Sets
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;6;NFI;Kitchen Sets;All / Blanket;119;119;4000;;;Completed;23/05/2015;26/05/2015;Kitchen Sets
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;7;NFI;Kitchen Sets;All / Blanket;147;147;4000;;;Completed;23/05/2015;26/05/2015;Kitchen Sets
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;8;NFI;Kitchen Sets;All / Blanket;218;218;4000;;;Completed;23/05/2015;26/05/2015;Kitchen Sets
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;9;NFI;Kitchen Sets;All / Blanket;180;180;4000;;;Completed;23/05/2015;30/05/2015;Kitchen Sets
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;1;Shelter;Tarpaulin;Targeted group;30;30;2400;;;Completed;23/05/2015;18/06/2015;
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;2;Shelter;Tarpaulin;Targeted group;50;50;2400;;;Completed;23/05/2015;18/06/2015;
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;3;Shelter;Tarpaulin;Targeted group;41;41;2400;;;Completed;23/05/2015;18/06/2015;
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;4;Shelter;Tarpaulin;Targeted group;118;118;2400;;;Completed;23/05/2015;18/06/2015;
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 061;CARE;;SSICDC;Gorkha;Sairpani;9;Shelter;Tarpaulin;Targeted group;61;61;2400;;;Completed;23/05/2015;18/06/2015;
Priority;Tractor access;West;26/09/2015;524 3 07 36;524 3 07 36 5 035;CARE;;SSICDC;Gorkha;Simjung;Unknown;Shelter;Tarpaulin;All / Blanket;243;243;4800;;;Completed;04/05/2015;04/05/2015;
Priority;Tractor access;West;26/09/2015;524 3 07 36;524 3 07 36 5 035;CARE;;SSICDC;Gorkha;Simjung;Unknown;NFI;Blankets;All / Blanket;366;366;500;;;Completed;04/05/2015;04/05/2015;
Priority;Tractor access;West;26/09/2015;524 3 07 36;524 3 07 36 5 035;CARE;;SSICDC;Gorkha;Simjung;Unknown;NFI;Blankets;All / Blanket;134;134;500;;;Completed;04/05/2015;04/05/2015;
Priority;Tractor access;West;26/09/2015;524 3 07 36;524 3 07 36 5 035;CARE;;SSICDC;Gorkha;Simjung;Unknown;Shelter;Tarpaulin;All / Blanket;366;366;4800;;;Completed;04/05/2015;04/05/2015;
Priority;Tractor access;West;26/09/2015;524 3 07 36;524 3 07 36 5 035;CARE;;SSICDC;Gorkha;Simjung;Unknown;Shelter;Tarpaulin;All / Blanket;171;171;4800;;;Completed;04/05/2015;04/05/2015;
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 025;CARE;;SSICDC;Gorkha;Virkot;1;Shelter;Tarpaulin;Targeted group;11;11;2400;;;Completed;24/05/2015;24/05/2015;Tarpaulin were distributed with out NFI kits
Priority;;West;26/09/2015;524 3 07 36;524 3 07 36 5 025;CARE;;SSICDC;Gorkha;Virkot;2;Shelter;Tarpaulin;Targeted group;14;14;2400;;;Completed;24/05/2015;24/05/2015;Tarpaulin were distributed with out NFI kits
